TransactionID,CustomerID,Firstname,Lastname,ProductID,Product_Name,Product_Category,Product_Quantity,Purchase_Price,Purchase_Date,Country,,
1,101,Kenneth,Martinez,240,Router,Electronics,5,689.99,2024-03-01,Barbados,,
2,102,Joseph,Anderson,299,Camera,Electronics,4,79.27,2024-01-26,Northern Mariana Islands,,
3,103,Vincent,Reynolds,207,Electric Kettle,Home Appliances,3,666.75,2024-05-13,British Virgin Islands,,Unique
4,104,Christopher,Morris,290,Smartwatch,Electronics,5,316.19,2023-09-21,Guatemala,,
5,105,Sarah,King,281,Toaster,Home Appliances,4,700.24,2024-01-25,Falkland Islands (Malvinas),,
6,106,Lisa,Davis,282,Television,Electronics,4,668.28,2023-08-30,Namibia,,
7,107,Matthew,Le,277,Microwave,Home Appliances,5,573.41,2023-11-04,Tajikistan,,
8,108,Scott,Miller,282,Heater,Home Appliances,1,310.84,2024-04-20,Montserrat,,
9,109,Pamela,Butler,281,Printer,Electronics,5,610.59,2023-07-07,Luxembourg,,
10,110,Maria,Turner,231,Air Conditioner,Home Appliances,4,447.74,2024-05-03,Sri Lanka,,
11,111,Jesse,Barker,220,Router,Electronics,4,795.8,2023-12-13,Israel,,
12,112,Gerald,Thomas,291,Laptop,Electronics,3,520.3,2023-10-28,Saint Martin,,
13,113,James,Hodges,265,Refrigerator,Home Appliances,2,676.07,2024-01-30,Botswana,,
14,114,Bryan,Cole,218,Television,Electronics,2,34.18,2023-08-02,Australia,,
15,115,Sharon,Barnes,220,Tablet,Electronics,5,851.24,2024-05-06,Greece,,
16,116,Cheryl,Moore,265,Tablet,Electronics,4,887.28,2023-12-24,Luxembourg,,
17,117,Brandon,Long MD,230,Printer,Electronics,4,405.66,2023-09-17,Mozambique,,
18,118,Douglas,Harper,283,Smartphone,Electronics,1,780.64,2024-03-13,Latvia,,
19,119,Sarah,Jordan,233,Headphones,Electronics,5,469.9,2024-04-03,Haiti,,
20,120,Andrew,Williams,271,Laptop,Electronics,4,142.01,2023-09-09,Guyana,,
21,121,James,Cole,270,Heater,Home Appliances,5,599.5,2023-10-12,Sweden,,
22,122,Barbara,Hester,250,Electric Kettle,Home Appliances,5,432.47,2023-11-17,South Africa,,
23,123,Holly,Thomas,277,Microwave,Home Appliances,4,455.57,2024-01-09,Iran,,
24,124,Andrew,Reeves,260,Smartwatch,Electronics,5,489.75,2024-01-13,Korea,,
25,125,Kaylee,Murphy,278,Smartwatch,Electronics,4,86.71,2023-10-27,Central African Republic,,
26,126,Nancy,Evans MD,265,Vacuum Cleaner,Home Appliances,3,342.49,2024-01-18,Liechtenstein,,
27,127,Karen,Smith,242,Headphones,Electronics,2,238.95,2024-03-13,Bouvet Island (Bouvetoya),,
28,128,Rebecca,Swanson,288,Television,Electronics,1,420.72,2024-02-25,Anguilla,,
29,129,Walter,Patton,299,Heater,Home Appliances,4,421.62,2024-02-05,Montserrat,,
30,130,Lauren,Jackson,280,Printer,Electronics,4,905.79,2024-04-01,Nicaragua,,
31,131,Brittany,Becker,204,Smart Bulb,Electronics,4,482.21,2024-02-03,Yemen,,
32,132,Albert,Edwards,219,Washing Machine,Home Appliances,4,854.91,2023-12-03,Portugal,,
33,133,Reginald,Knapp,294,Heater,Home Appliances,5,801.87,2024-04-03,Bahamas,,
34,134,Daniel,Nguyen,284,Tablet,Electronics,2,280.21,2023-12-28,Mali,,
35,135,Christopher,Barr,243,Blender,Home Appliances,4,342.77,2024-01-24,Guinea,,
36,136,Michelle,Schneider,288,Microwave,Home Appliances,4,920.35,2023-10-06,New Caledonia,,
37,137,David,Grant,228,Printer,Electronics,5,568.75,2024-06-25,French Southern Territories,,
38,138,Daniel,Bush,240,Laptop,Electronics,4,144.34,2023-12-29,Guernsey,,
39,139,Rebecca,Hill,215,Microwave,Home Appliances,1,267.55,2024-02-03,Philippines,,
40,140,William,Cardenas,298,Vacuum Cleaner,Home Appliances,4,333.58,2024-05-03,Cameroon,,
41,141,Tyler,Miller,256,Washing Machine,Home Appliances,4,259.75,2024-03-06,Equatorial Guinea,,
42,142,Dale,Ryan,271,Tablet,Electronics,1,751.53,2024-03-22,Faroe Islands,,
43,143,Patrick,Allen,206,Camera,Electronics,2,653.64,2024-03-12,United Kingdom,,
44,144,David,Garcia,242,Smartphone,Electronics,2,207.37,2024-03-30,Latvia,,
45,145,Brenda,Oconnell,220,Smart Bulb,Electronics,2,246.16,2023-12-01,Palau,,
46,146,Matthew,Avila,236,Refrigerator,Home Appliances,5,948.28,2023-10-28,France,,
47,147,Randy,Pearson,229,Washing Machine,Home Appliances,3,176.11,2024-01-19,Saint Vincent and the Grenadines,,
48,148,Amanda,Dorsey,253,Headphones,Electronics,3,117.02,2024-06-02,Taiwan,,
49,149,Amanda,Huff,263,Smartwatch,Electronics,5,680.57,2023-09-06,Vietnam,,
50,150,Tammy,Mcdowell,201,Coffee Maker,Home Appliances,2,85.24,2023-10-19,Mongolia,,
51,151,William,Mitchell,282,Laptop,Electronics,3,851.79,2024-01-22,Mali,,
52,152,Brandi,Gordon,234,Smart Bulb,Electronics,1,353.73,2023-09-08,Sudan,,
53,153,Nicholas,Wong,291,Toaster,Home Appliances,1,510.9,2023-09-06,American Samoa,,
54,154,Edward,Craig,224,Blender,Home Appliances,4,824.11,2023-09-02,New Caledonia,,
55,155,Jennifer,Patterson,241,Printer,Electronics,3,639.23,2023-07-29,Iran,,
56,156,William,Woods,231,Microwave,Home Appliances,4,184.38,2023-06-28,Eritrea,,
57,157,Paul,Finley,238,Electric Kettle,Home Appliances,5,776.9,2024-02-07,Saint Kitts and Nevis,,
